Omics,Gene,Cell,Weight
0,2,63,0.0
0,3,63,0.0
0,4,63,0.0
0,5,63,0.0
0,6,63,0.0
0,7,63,0.0
0,8,63,0.0
0,9,63,0.0
0,10,63,0.0
0,11,63,0.0
0,12,63,0.0
0,13,63,0.0
0,14,63,14.18100147
0,15,63,0.0
0,16,63,0.0
0,17,63,14.87703369
0,18,63,0.0
0,19,63,0.0
0,20,63,0.0
0,21,63,0.0
0,22,63,0.0
0,23,63,0.0
0,24,63,0.0
0,25,63,0.0
0,26,63,0.0
0,27,63,0.0
0,28,63,16.37156143
0,29,63,17.28894298
0,30,63,0.0
0,31,63,4.01530144
0,32,63,0.0
0,33,63,0.0
0,34,63,0.0
0,35,63,0.0
1,36,63,1.0
1,37,63,1.0
1,38,63,0.0
1,39,63,0.0
1,40,63,1.0
1,41,63,0.0
1,42,63,1.0
1,43,63,1.0
1,44,63,0.0
1,45,63,1.0
1,46,63,1.0
1,47,63,1.0
1,48,63,0.0
1,49,63,0.0
1,50,63,1.0
1,51,63,1.0
1,52,63,1.0
1,53,63,1.0
1,54,63,0.0
1,55,63,1.0
1,56,63,1.0
1,57,63,0.0
1,58,63,1.0
1,59,63,0.0
1,60,63,1.0
1,61,63,0.0
1,62,63,0.0
0,2,64,0.0
0,3,64,0.0
0,4,64,0.0
0,5,64,0.0
0,6,64,0.0
0,7,64,0.0
0,8,64,0.0
0,9,64,0.0
0,10,64,0.0
0,11,64,15.75095637
0,12,64,0.0
0,13,64,0.0
0,14,64,0.0
0,15,64,0.0
0,16,64,0.0
0,17,64,16.8751899
0,18,64,0.0
0,19,64,17.15145564
0,20,64,0.0
0,21,64,4.36092358
0,22,64,0.0
0,23,64,0.0
0,24,64,0.0
0,25,64,0.0
0,26,64,0.0
0,27,64,0.0
0,28,64,19.75353413
0,29,64,19.84989758
0,30,64,0.0
0,31,64,4.94266806
0,32,64,0.0
0,33,64,0.0
0,34,64,0.0
0,35,64,0.0
1,36,64,1.0
1,37,64,1.0
1,38,64,0.0
1,39,64,1.0
1,40,64,0.0
1,41,64,0.0
1,42,64,1.0
1,43,64,0.0
1,44,64,0.0
1,45,64,1.0
1,46,64,1.0
1,47,64,1.0
1,48,64,0.0
1,49,64,0.0
1,50,64,1.0
1,51,64,1.0
1,52,64,1.0
1,53,64,0.0
1,54,64,0.0
1,55,64,1.0
1,56,64,0.0
1,57,64,0.0
1,58,64,1.0
1,59,64,0.0
1,60,64,0.0
1,61,64,0.0
1,62,64,1.0
0,2,65,0.0
0,3,65,0.0
0,4,65,0.0
0,5,65,0.0
0,6,65,0.0
0,7,65,0.0
0,8,65,0.0
0,9,65,0.0
0,10,65,0.0
0,11,65,18.60150263
0,12,65,0.0
0,13,65,0.0
0,14,65,0.0
0,15,65,0.0
0,16,65,0.0
0,17,65,14.83792911
0,18,65,0.0
0,19,65,17.92379111
0,20,65,0.0
0,21,65,0.0
0,22,65,0.0
0,23,65,0.0
0,24,65,0.0
0,25,65,0.0
0,26,65,0.0
0,27,65,0.0
0,28,65,20.1982807
0,29,65,19.78194286
0,30,65,0.0
0,31,65,0.0
0,32,65,0.0
0,33,65,0.0
0,34,65,0.0
0,35,65,0.0
1,36,65,1.0
1,37,65,1.0
1,38,65,0.0
1,39,65,0.0
1,40,65,0.0
1,41,65,0.0
1,42,65,1.0
1,43,65,0.0
1,44,65,0.0
1,45,65,1.0
1,46,65,1.0
1,47,65,1.0
1,48,65,0.0
1,49,65,0.0
1,50,65,1.0
1,51,65,1.0
1,52,65,1.0
1,53,65,0.0
1,54,65,0.0
1,55,65,1.0
1,56,65,0.0
1,57,65,0.0
1,58,65,1.0
1,59,65,0.0
1,60,65,0.0
1,61,65,0.0
1,62,65,0.0
0,2,66,0.0
0,3,66,0.0
0,4,66,0.0
0,5,66,0.0
0,6,66,0.0
0,7,66,0.0
0,8,66,0.0
0,9,66,0.0
0,10,66,0.0
0,11,66,17.7136096
0,12,66,0.0
0,13,66,0.0
0,14,66,0.0
0,15,66,0.0
0,16,66,0.0
0,17,66,19.54539763
0,18,66,0.0
0,19,66,19.27054334
0,20,66,0.0
0,21,66,2.75252383
0,22,66,0.0
0,23,66,0.0
0,24,66,0.0
0,25,66,0.0
0,26,66,9.0196165
0,27,66,0.0
0,28,66,19.58819873
0,29,66,20.85398224
0,30,66,0.0
0,31,66,4.41925906
0,32,66,8.7963027
0,33,66,0.0
0,34,66,0.0
0,35,66,0.0
1,36,66,1.0
1,37,66,1.0
1,38,66,0.0
1,39,66,0.0
1,40,66,1.0
1,41,66,0.0
1,42,66,1.0
1,43,66,0.0
1,44,66,0.0
1,45,66,1.0
1,46,66,1.0
1,47,66,1.0
1,48,66,0.0
1,49,66,0.0
1,50,66,1.0
1,51,66,1.0
1,52,66,1.0
1,53,66,0.0
1,54,66,0.0
1,55,66,1.0
1,56,66,1.0
1,57,66,0.0
1,58,66,1.0
1,59,66,0.0
1,60,66,0.0
1,61,66,0.0
1,62,66,0.0
0,2,67,0.0
0,3,67,0.0
0,4,67,0.0
0,5,67,0.0
0,6,67,0.0
0,7,67,0.0
0,8,67,0.0
0,9,67,0.0
0,10,67,0.0
0,11,67,15.83187028
0,12,67,0.0
0,13,67,0.0
0,14,67,14.44620017
0,15,67,0.0
0,16,67,8.94220023
0,17,67,17.18286015
0,18,67,0.0
0,19,67,15.71398856
0,20,67,0.0
0,21,67,0.0
0,22,67,0.0
0,23,67,0.0
0,24,67,0.0
0,25,67,0.0
0,26,67,0.0
0,27,67,9.79830311
0,28,67,19.5156615
0,29,67,20.1119429
0,30,67,0.0
0,31,67,7.03596407
0,32,67,0.0
0,33,67,0.0
0,34,67,0.0
0,35,67,0.0
1,36,67,1.0
1,37,67,1.0
1,38,67,0.0
1,39,67,0.0
1,40,67,0.0
1,41,67,0.0
1,42,67,1.0
1,43,67,1.0
1,44,67,0.0
1,45,67,1.0
1,46,67,1.0
1,47,67,1.0
1,48,67,0.0
1,49,67,0.0
1,50,67,1.0
1,51,67,1.0
1,52,67,1.0
1,53,67,0.0
1,54,67,0.0
1,55,67,1.0
1,56,67,0.0
1,57,67,0.0
1,58,67,1.0
1,59,67,0.0
1,60,67,0.0
1,61,67,0.0
1,62,67,0.0
0,2,68,0.0
0,3,68,0.0
0,4,68,0.0
0,5,68,0.0
0,6,68,0.0
0,7,68,0.0
0,8,68,0.0
0,9,68,0.0
0,10,68,0.0
0,11,68,14.09098111
0,12,68,0.0
0,13,68,0.0
0,14,68,15.23855963
0,15,68,0.0
0,16,68,0.0
0,17,68,14.88974287
0,18,68,0.0
0,19,68,17.20352726
0,20,68,0.0
0,21,68,5.5041966
0,22,68,0.0
0,23,68,0.0
0,24,68,7.12019064
0,25,68,0.0
0,26,68,0.0
0,27,68,0.0
0,28,68,19.85725396
0,29,68,19.29890862
0,30,68,0.0
0,31,68,4.11739143
0,32,68,0.0
0,33,68,0.0
0,34,68,0.0
0,35,68,0.0
1,36,68,1.0
1,37,68,1.0
1,38,68,0.0
1,39,68,0.0
1,40,68,0.0
1,41,68,0.0
1,42,68,1.0
1,43,68,1.0
1,44,68,0.0
1,45,68,1.0
1,46,68,1.0
1,47,68,1.0
1,48,68,0.0
1,49,68,0.0
1,50,68,1.0
1,51,68,1.0
1,52,68,1.0
1,53,68,0.0
1,54,68,0.0
