omics_node,cell_node,gene_node,weight
0,120,2,
0,120,4,
0,120,5,
0,120,8,
0,120,11,
0,120,12,
0,120,13,
0,120,14,
0,120,18,
0,120,19,
0,120,22,
0,120,24,
0,120,26,14.18100147
0,120,29,
0,120,30,14.87703369
0,120,31,
0,120,36,
0,120,37,
0,120,39,
0,120,42,
0,120,43,
0,120,47,
0,120,48,
0,120,49,16.37156143
0,120,50,17.28894298
0,120,52,4.01530144
0,120,53,
0,120,54,
0,120,55,
0,120,59,
0,121,2,
0,121,4,
0,121,5,
0,121,8,
0,121,11,
0,121,12,
0,121,13,
0,121,14,
0,121,18,
0,121,19,
0,121,21,15.75095637
0,121,22,
0,121,24,
0,121,29,
0,121,30,16.8751899
0,121,31,
0,121,33,17.15145564
0,121,35,4.36092358
0,121,36,
0,121,37,
0,121,39,
0,121,42,
0,121,43,
0,121,47,
0,121,48,
0,121,49,19.75353413
0,121,50,19.84989758
0,121,52,4.94266806
0,121,53,
0,121,54,
0,121,55,
0,121,59,
0,122,2,
0,122,4,
0,122,5,
0,122,8,
0,122,11,
0,122,12,
0,122,13,
0,122,14,
0,122,18,
0,122,19,
0,122,21,18.60150263
0,122,22,
0,122,24,
0,122,29,
0,122,30,14.83792911
0,122,31,
0,122,33,17.92379111
0,122,36,
0,122,37,
0,122,39,
0,122,42,
0,122,43,
0,122,47,
0,122,48,
0,122,49,20.1982807
0,122,50,19.78194286
0,122,53,
0,122,54,
0,122,55,
0,122,59,
0,123,2,
0,123,4,
0,123,5,
0,123,8,
0,123,11,
0,123,12,
0,123,13,
0,123,14,
0,123,18,
0,123,19,
0,123,21,17.7136096
0,123,22,
0,123,24,
0,123,29,
0,123,30,19.54539763
0,123,31,
0,123,33,19.27054334
0,123,35,2.75252383
0,123,36,
0,123,37,
0,123,39,
0,123,42,
0,123,43,
0,123,45,9.0196165
0,123,47,
0,123,48,
0,123,49,19.58819873
0,123,50,20.85398224
0,123,52,4.41925906
0,123,53,
0,123,54,
0,123,55,
0,123,56,8.7963027
0,123,59,
0,124,2,
0,124,4,
0,124,5,
